id,city_name,signup_os,signup_channel,signup_date,bgc_date,vehicle_added_date,vehicle_make,vehicle_model,vehicle_year,first_completed_date,days_to_bgc,days_to_vehicle_add,days_to_first_trip,started_driving
57,Strark,ios web,Paid,2016-01-28,2016-01-30,2016-02-06,Toyota,Prius V,2012.0,2016-02-05,2.0,9.0,8.0,1
58,Strark,android web,Referral,2016-01-24,2016-02-10,,,,,,17.0,,,0
59,Berton,ios web,Organic,2016-01-04,,,,,,,,,,0
60,Berton,,Referral,2016-01-04,2016-01-04,,,,,,0.0,,,0
61,Strark,ios web,Organic,2016-01-21,2016-01-27,,,,,,6.0,,,0
62,Strark,ios web,Organic,2016-01-27,2016-01-27,,,,,,0.0,,,0
63,Berton,android web,Paid,2016-01-24,,,,,,,,,,0
64,Strark,,Organic,2016-01-10,,,,,,,,,,0
65,Berton,android web,Organic,2016-01-21,,,,,,,,,,0
66,Strark,other,Paid,2016-01-13,2016-02-19,,,,,,37.0,,,0
67,Strark,other,Organic,2016-01-27,2016-02-22,,,,,,26.0,,,0
68,Berton,ios web,Organic,2016-01-25,,,,,,,,,,0
69,Strark,ios web,Paid,2016-01-22,2016-02-08,2016-02-18,Cadillac,Escalade,2011.0,,17.0,27.0,,0
70,Strark,ios web,Organic,2016-01-05,2016-01-11,,,,,,6.0,,,0
71,Berton,windows,Paid,2016-01-07,2016-01-19,,,,,,12.0,,,0
72,Strark,ios web,Paid,2016-01-18,2016-01-19,,,,,,1.0,,,0
73,Strark,android web,Organic,2016-01-21,,,,,,,,,,0
74,Strark,android web,Referral,2016-01-27,,,,,,,,,,0
75,Wrouver,ios web,Referral,2016-01-05,,2016-02-03,Acura,RDX,2008.0,,,29.0,,0
76,Strark,android web,Organic,2016-01-26,2016-01-29,,,,,,3.0,,,0
77,Strark,,Referral,2016-01-29,2016-02-08,,,,,,10.0,,,0
78,Berton,ios web,Organic,2016-01-16,2016-01-19,,,,,,3.0,,,0
79,Strark,windows,Referral,2016-01-20,2016-01-24,2016-02-17,Lexus,ES,2010.0,,4.0,28.0,,0
80,Berton,android web,Organic,2016-01-14,2016-02-06,,,,,,23.0,,,0
81,Berton,ios web,Organic,2016-01-23,2016-02-05,,,,,,13.0,,,0
82,Strark,ios web,Referral,2016-01-26,2016-01-26,2016-01-26,Toyota,Prius,2015.0,2016-02-07,0.0,0.0,12.0,1
83,Berton,ios web,Organic,2016-01-15,2016-01-29,,,,,,14.0,,,0
84,Strark,windows,Paid,2016-01-08,2016-01-30,,,,,,22.0,,,0
85,Strark,mac,Organic,2016-01-07,2016-01-14,2016-01-15,Honda,CR-V,2007.0,2016-01-15,7.0,8.0,8.0,1
86,Berton,android web,Referral,2016-01-25,2016-01-28,,,,,,3.0,,,0
87,Strark,mac,Organic,2016-01-22,2016-01-24,,,,,,2.0,,,0
88,Berton,mac,Referral,2016-01-13,2016-01-26,,,,,,13.0,,,0
89,Strark,android web,Organic,2016-01-04,2016-01-23,,,,,,19.0,,,0
90,Strark,android web,Paid,2016-01-18,,,,,,,,,,0
91,Strark,,Referral,2016-01-24,2016-02-06,,,,,,13.0,,,0
92,Strark,ios web,Organic,2016-01-14,2016-01-14,2016-01-14,Lexus,CT,2013.0,2016-01-17,0.0,0.0,3.0,1
93,Berton,android web,Paid,2016-01-20,2016-01-20,,,,,,0.0,,,0
94,Berton,ios web,Referral,2016-01-04,2016-01-07,2016-01-10,GMC,Terrain,2015.0,2016-01-10,3.0,6.0,6.0,1
95,Berton,ios web,Paid,2016-01-05,2016-02-04,2016-02-19,Pontiac,G6,2008.0,,30.0,45.0,,0
96,Strark,other,Paid,2016-01-17,,,,,,,,,,0
97,Wrouver,mac,Organic,2016-01-15,2016-01-25,2016-01-26,Honda,Civic Hybrid,2008.0,2016-01-30,10.0,11.0,15.0,1
98,Strark,ios web,Paid,2016-01-16,2016-01-18,,,,,,2.0,,,0
99,Strark,android web,Organic,2016-01-18,2016-01-21,,,,,,3.0,,,0
100,Wrouver,other,Paid,2016-01-28,2016-02-01,,,,,,4.0,,,0
101,Berton,mac,Paid,2016-01-11,2016-02-11,,,,,,31.0,,,0
102,Berton,android web,Paid,2016-01-24,,,,,,,,,,0
103,Strark,,Organic,2016-01-27,,,,,,,,,,0
104,Strark,mac,Paid,2016-01-19,,,,,,,,,,0
105,Berton,,Organic,2016-01-16,2016-02-03,,,,,2016-02-03,18.0,,18.0,1
106,Strark,android web,Referral,2016-01-25,2016-01-31,,,,,,6.0,,,0
107,Strark,android web,Paid,2016-01-18,2016-01-18,,,,,,0.0,,,0
108,Strark,mac,Paid,2016-01-28,,,Honda,Accord,2016.0,,,,,0
109,Strark,android web,Referral,2016-01-14,2016-01-18,,,,,,4.0,,,0
110,Berton,other,Paid,2016-01-10,2016-01-10,2016-01-12,Nissan,Versa,2011.0,2016-01-13,0.0,2.0,3.0,1
111,Berton,,Organic,2016-01-25,,,,,,,,,,0
112,Strark,mac,Organic,2016-01-08,2016-01-14,2016-02-01,Toyota,Prius,2005.0,,6.0,24.0,,0
113,Berton,,Referral,2016-01-06,2016-01-10,,,,,,4.0,,,0
114,Strark,ios web,Organic,2016-01-23,2016-01-23,2016-01-23,Honda,Odyssey,2014.0,2016-01-26,0.0,0.0,3.0,1
115,Berton,ios web,Paid,2016-01-08,,,,,,,,,,0
116,Wrouver,ios web,Paid,2016-01-21,2016-02-11,,,,,,21.0,,,0
117,Strark,ios web,Paid,2016-01-08,2016-02-09,,,,,,32.0,,,0
118,Berton,android web,Organic,2016-01-13,2016-02-09,,,,,,27.0,,,0
119,Berton,ios web,Referral,2016-01-11,2016-01-15,2016-01-15,Honda,CR-V,2014.0,2016-01-17,4.0,4.0,6.0,1
120,Strark,,Referral,2016-01-08,2016-02-05,,,,,,28.0,,,0
121,Strark,android web,Paid,2016-01-20,,,,,,,,,,0
122,Berton,windows,Paid,2016-01-01,2016-01-17,,,,,,16.0,,,0
123,Strark,android web,Paid,2016-01-13,2016-01-15,2016-01-16,Jeep,Grand Cherokee,2014.0,2016-02-11,2.0,3.0,29.0,1
124,Strark,other,Organic,2016-01-25,2016-01-25,,,,,,0.0,,,0
125,Strark,ios web,Paid,2016-01-29,2016-02-17,2016-02-17,Toyota,Prius,2015.0,2016-02-22,19.0,19.0,24.0,1
126,Strark,ios web,Referral,2016-01-11,2016-01-22,,,,,,11.0,,,0
127,Berton,ios web,Referral,2016-01-07,,2016-02-20,Toyota,Corolla,2016.0,,,44.0,,0
128,Berton,ios web,Organic,2016-01-04,2016-01-06,2016-01-08,Honda,Odyssey,2008.0,2016-01-10,2.0,4.0,6.0,1
129,Berton,ios web,Paid,2016-01-25,2016-01-27,,,,,2016-02-16,2.0,,22.0,1
130,Strark,,Referral,2016-01-06,,,,,,,,,,0
131,Strark,ios web,Paid,2016-01-30,2016-01-31,,,,,,1.0,,,0
132,Strark,ios web,Referral,2016-01-24,2016-02-02,,,,,,9.0,,,0
133,Berton,ios web,Paid,2016-01-05,2016-01-23,2016-01-25,Volkswagen,GTI,2007.0,,18.0,20.0,,0
134,Strark,ios web,Organic,2016-01-12,2016-01-16,2016-02-23,Honda,Civic,2012.0,,4.0,42.0,,0
135,Berton,ios web,Paid,2016-01-08,,,,,,,,,,0
136,Strark,android web,Referral,2016-01-04,2016-01-27,,,,,,23.0,,,0
137,Berton,windows,Organic,2016-01-06,2016-02-07,,,,,,32.0,,,0
138,Strark,ios web,Referral,2016-01-19,2016-01-22,2016-01-24,Nissan,Versa,2014.0,2016-02-05,3.0,5.0,17.0,1
139,Berton,ios web,Organic,2016-01-03,2016-01-10,,,,,,7.0,,,0
140,Berton,ios web,Paid,2016-01-23,2016-01-30,2016-02-04,Kia,Optima,2014.0,,7.0,12.0,,0
141,Strark,ios web,Paid,2016-01-08,2016-01-27,,,,,,19.0,,,0
142,Berton,,Referral,2016-01-30,2016-02-01,,,,,,2.0,,,0
143,Berton,android web,Paid,2016-01-22,2016-02-15,,,,,,24.0,,,0
144,Berton,ios web,Organic,2016-01-05,2016-02-03,2016-02-15,Ford,F-150,2001.0,,29.0,41.0,,0
145,Berton,ios web,Paid,2016-01-28,2016-02-22,,,,,,25.0,,,0
146,Wrouver,other,Referral,2016-01-11,2016-01-24,,,,,,13.0,,,0
147,Strark,windows,Referral,2016-01-07,2016-01-13,2016-01-25,Audi,A4,2015.0,2016-01-28,6.0,18.0,21.0,1
148,Strark,,Referral,2016-01-04,,,,,,,,,,0
149,Strark,windows,Organic,2016-01-03,2016-01-03,2016-02-03,Honda,Insight Hybrid,2010.0,,0.0,31.0,,0
150,Strark,android web,Organic,2016-01-30,2016-02-06,2016-02-15,Hyundai,Elantra,2014.0,,7.0,16.0,,0
151,Berton,mac,Referral,2016-01-05,2016-01-09,,,,,,4.0,,,0
152,Berton,,Referral,2016-01-01,,,,,,,,,,0
153,Strark,ios web,Paid,2016-01-22,2016-02-10,,,,,,19.0,,,0
154,Berton,android web,Referral,2016-01-12,2016-01-21,,,,,,9.0,,,0
155,Berton,other,Organic,2016-01-12,2016-01-18,,,,,,6.0,,,0
156,Berton,mac,Organic,2016-01-26,2016-01-26,2016-01-28,Acura,RDX,2015.0,2016-01-28,0.0,2.0,2.0,1
157,Berton,mac,Paid,2016-01-02,,,,,,,,,,0
158,Berton,android web,Paid,2016-01-09,2016-02-21,2016-02-21,Toyota,Camry,2016.0,,43.0,43.0,,0
159,Strark,android web,Paid,2016-01-14,2016-01-19,,,,,,5.0,,,0
160,Berton,android web,Organic,2016-01-26,2016-01-28,,,,,,2.0,,,0
161,Strark,android web,Paid,2016-01-20,2016-02-03,,,,,,14.0,,,0
162,Strark,ios web,Referral,2016-01-04,2016-01-04,2016-01-11,Nissan,Sentra,2015.0,2016-01-11,0.0,7.0,7.0,1
163,Berton,windows,Paid,2016-01-10,2016-01-12,,,,,,2.0,,,0
164,Wrouver,other,Paid,2016-01-22,2016-02-22,,,,,,31.0,,,0
165,Strark,mac,Organic,2016-01-27,2016-02-03,,,,,,7.0,,,0
166,Berton,other,Referral,2016-01-29,2016-01-29,2016-01-29,Chevrolet,Malibu,2015.0,2016-01-29,0.0,0.0,0.0,1
167,Berton,other,Paid,2016-01-23,2016-02-10,,,,,,18.0,,,0
168,Strark,windows,Paid,2016-01-02,2016-01-02,2016-01-04,Kia,Soul,2011.0,2016-01-11,0.0,2.0,9.0,1
169,Strark,windows,Organic,2016-01-21,2016-01-31,,,,,,10.0,,,0
170,Strark,mac,Referral,2016-01-27,2016-02-09,2016-02-12,Honda,Civic,2015.0,,13.0,16.0,,0
171,Berton,ios web,Referral,2016-01-21,2016-01-22,2016-02-02,Nissan,Altima,2008.0,2016-02-01,1.0,12.0,11.0,1
172,Berton,,Referral,2016-01-07,2016-01-07,2016-02-03,Jeep,Grand Cherokee,2006.0,,0.0,27.0,,0
173,Berton,android web,Paid,2016-01-17,2016-01-20,2016-02-02,Dodge,Journey,2009.0,,3.0,16.0,,0
174,Berton,,Organic,2016-01-29,,,,,,,,,,0
175,Berton,ios web,Referral,2016-01-06,2016-01-06,2016-01-09,Jeep,Compass,2011.0,2016-01-11,0.0,3.0,5.0,1
176,Strark,other,Organic,2016-01-25,2016-01-25,2016-01-28,BMW,3-series,2012.0,2016-01-27,0.0,3.0,2.0,1
177,Strark,windows,Paid,2016-01-21,2016-01-26,2016-01-27,Infiniti,G Sedan,2012.0,2016-01-28,5.0,6.0,7.0,1
178,Berton,ios web,Referral,2016-01-29,2016-02-07,,,,,,9.0,,,0
179,Berton,ios web,Paid,2016-01-16,2016-02-01,2016-02-29,Chevrolet,Cruze,2012.0,,16.0,44.0,,0
180,Berton,mac,Paid,2016-01-14,2016-01-26,2016-02-15,Subaru,Forester,2009.0,,12.0,32.0,,0
181,Berton,windows,Referral,2016-01-28,2016-01-29,2016-01-29,Honda,Civic,2012.0,,1.0,1.0,,0
182,Strark,ios web,Referral,2016-01-12,2016-01-18,,,,,2016-01-25,6.0,,13.0,1
183,Strark,ios web,Paid,2016-01-25,2016-01-29,2016-02-11,Honda,Odyssey,2014.0,2016-02-13,4.0,17.0,19.0,1
184,Strark,android web,Referral,2016-01-28,,,,,,,,,,0
185,Strark,ios web,Referral,2016-01-14,2016-01-26,2016-02-07,Buick,Century,2001.0,2016-02-07,12.0,24.0,24.0,1
186,Strark,android web,Referral,2016-01-02,2016-01-19,2016-01-20,Toyota,Camry,2016.0,,17.0,18.0,,0
187,Strark,android web,Paid,2016-01-27,2016-01-27,2016-01-28,Hyundai,Elantra,2016.0,2016-02-22,0.0,1.0,26.0,1
188,Strark,ios web,Referral,2016-01-11,2016-01-28,,,,,,17.0,,,0
189,Strark,android web,Organic,2016-01-09,2016-01-22,2016-01-27,Honda,Accord,2012.0,,13.0,18.0,,0
190,Strark,android web,Referral,2016-01-23,2016-01-26,2016-01-27,Kia,Optima,2004.0,2016-02-20,3.0,4.0,28.0,1
191,Berton,windows,Paid,2016-01-09,2016-01-14,,,,,,5.0,,,0
192,Strark,windows,Paid,2016-01-13,2016-02-11,,,,,,29.0,,,0
193,Wrouver,ios web,Paid,2016-01-15,,,,,,,,,,0
194,Strark,android web,Referral,2016-01-17,2016-01-17,2016-01-17,Mazda,MAZDA3,2016.0,2016-01-27,0.0,0.0,10.0,1
195,Berton,ios web,Referral,2016-01-09,2016-01-09,2016-01-10,Subaru,XV Crosstrek,2016.0,2016-01-18,0.0,1.0,9.0,1
196,Strark,ios web,Organic,2016-01-30,2016-01-31,,,,,,1.0,,,0
197,Berton,ios web,Paid,2016-01-08,,,,,,,,,,0
198,Strark,android web,Referral,2016-01-14,2016-01-22,2016-01-23,Dodge,Charger,2006.0,2016-01-27,8.0,9.0,13.0,1
199,Strark,ios web,Paid,2016-01-24,,,,,,,,,,0
200,Strark,mac,Organic,2016-01-05,2016-01-07,2016-01-08,Kia,Optima,2012.0,2016-01-10,2.0,3.0,5.0,1
201,Strark,android web,Paid,2016-01-13,2016-01-14,2016-01-14,Ford,Flex,2010.0,2016-01-21,1.0,1.0,8.0,1
202,Berton,android web,Referral,2016-01-08,2016-01-11,2016-01-23,BMW,7-series,2008.0,,3.0,15.0,,0
203,Berton,android web,Paid,2016-01-10,2016-01-14,,,,,,4.0,,,0
204,Strark,android web,Paid,2016-01-11,2016-01-25,2016-02-15,Toyota,Corolla,2016.0,,14.0,35.0,,0
205,Strark,,Referral,2016-01-20,2016-01-26,2016-02-05,Toyota,RAV4,2015.0,,6.0,16.0,,0
206,Strark,android web,Organic,2016-01-13,2016-01-24,2016-02-04,Dodge,Charger,2014.0,2016-02-08,11.0,22.0,26.0,1
207,Wrouver,ios web,Paid,2016-01-07,,,,,,,,,,0
208,Strark,android web,Organic,2016-01-17,2016-02-04,,,,,,18.0,,,0
209,Berton,android web,Referral,2016-01-29,2016-01-29,2016-02-01,Chevrolet,Traverse,2011.0,2016-01-31,0.0,3.0,2.0,1
210,Strark,,Referral,2016-01-10,2016-02-15,,,,,,36.0,,,0
211,Berton,ios web,Organic,2016-01-17,,,,,,,,,,0
212,Strark,ios web,Paid,2016-01-06,2016-01-14,,,,,,8.0,,,0
213,Strark,android web,Paid,2016-01-16,,,,,,,,,,0
214,Strark,,Referral,2016-01-06,,,,,,,,,,0
215,Strark,android web,Referral,2016-01-08,2016-01-12,,,,,,4.0,,,0
216,Berton,ios web,Paid,2016-01-21,2016-02-04,2016-02-13,Dodge,Avenger,2009.0,,14.0,23.0,,0
217,Berton,ios web,Referral,2016-01-20,2016-01-20,2016-01-23,Volkswagen,Jetta,2002.0,2016-01-31,0.0,3.0,11.0,1
218,Strark,,Organic,2016-01-22,,,,,,,,,,0
219,Berton,windows,Paid,2016-01-04,,,,,,,,,,0
220,Berton,android web,Paid,2016-01-20,2016-01-27,,,,,,7.0,,,0
221,Berton,android web,Paid,2016-01-29,2016-02-06,2016-02-06,Honda,Civic,2007.0,,8.0,8.0,,0
222,Strark,ios web,Paid,2016-01-21,,,,,,,,,,0
223,Strark,,Referral,2016-01-11,,,,,,,,,,0
224,Strark,android web,Organic,2016-01-10,2016-02-10,2016-02-28,Ford,Expedition,2005.0,,31.0,49.0,,0
225,Wrouver,windows,Paid,2016-01-24,,,,,,,,,,0
226,Berton,android web,Paid,2016-01-29,2016-02-12,,,,,,14.0,,,0
227,Strark,android web,Paid,2016-01-13,2016-01-21,2016-02-08,Nissan,Sentra,2006.0,,8.0,26.0,,0
228,Strark,android web,Paid,2016-01-08,,,,,,,,,,0
229,Strark,,Referral,2016-01-03,,,,,,,,,,0
230,Berton,android web,Paid,2016-01-26,2016-02-23,,,,,,28.0,,,0
231,Berton,ios web,Referral,2016-01-22,2016-01-29,2016-01-30,Lexus,ES,2007.0,,7.0,8.0,,0
232,Strark,android web,Referral,2016-01-15,2016-01-15,2016-01-17,Audi,A4,2009.0,2016-01-22,0.0,2.0,7.0,1
233,Berton,ios web,Organic,2016-01-09,2016-01-12,2016-02-23,Honda,Civic,2011.0,,3.0,45.0,,0
234,Strark,,Referral,2016-01-20,2016-01-26,,,,,,6.0,,,0
235,Strark,android web,Referral,2016-01-10,2016-01-11,2016-01-12,Nissan,Sentra,2011.0,,1.0,2.0,,0
236,Strark,,Referral,2016-01-05,,,,,,,,,,0
237,Berton,android web,Organic,2016-01-04,2016-01-04,,,,,,0.0,,,0
238,Strark,other,Paid,2016-01-22,,,,,,,,,,0
239,Wrouver,mac,Organic,2016-01-24,2016-02-12,,,,,,19.0,,,0
240,Berton,ios web,Referral,2016-01-22,2016-01-27,2016-02-05,Honda,Civic,2015.0,,5.0,14.0,,0
241,Berton,ios web,Paid,2016-01-30,2016-02-06,,,,,,7.0,,,0
242,Berton,,Organic,2016-01-29,2016-01-29,,,,,,0.0,,,0
243,Strark,mac,Referral,2016-01-05,2016-01-28,2016-01-28,Lexus,IS,2008.0,,23.0,23.0,,0
244,Berton,windows,Referral,2016-01-21,2016-01-21,2016-01-24,Toyota,Prius,2014.0,2016-01-27,0.0,3.0,6.0,1
245,Berton,ios web,Referral,2016-01-02,2016-01-13,2016-01-24,Chrysler,Town and Country,2012.0,2016-02-01,11.0,22.0,30.0,1
246,Strark,,Organic,2016-01-12,,,,,,,,,,0
247,Berton,mac,Referral,2016-01-12,,,,,,,,,,0
248,Strark,android web,Referral,2016-01-01,2016-01-01,,,,,,0.0,,,0
249,Strark,android web,Organic,2016-01-09,2016-01-21,,,,,,12.0,,,0
250,Berton,,Referral,2016-01-03,,,,,,,,,,0
251,Berton,mac,Paid,2016-01-01,2016-01-05,2016-01-22,Toyota,Sienna,2001.0,,4.0,21.0,,0
252,Strark,windows,Organic,2016-01-10,,,,,,,,,,0
253,Strark,ios web,Paid,2016-01-19,,,,,,,,,,0
254,Strark,ios web,Referral,2016-01-25,2016-01-25,2016-01-27,Scion,iM,2016.0,2016-01-27,0.0,2.0,2.0,1
255,Strark,,Organic,2016-01-28,,,,,,,,,,0
256,Wrouver,android web,Paid,2016-01-09,2016-01-19,,,,,,10.0,,,0
257,Berton,other,Organic,2016-01-03,2016-01-08,2016-01-07,Nissan,Sentra,2014.0,2016-01-12,5.0,4.0,9.0,1
258,Strark,windows,Paid,2016-01-02,2016-01-16,,,,,,14.0,,,0
259,Berton,android web,Organic,2016-01-28,2016-01-28,,,,,,0.0,,,0
260,Berton,mac,Referral,2016-01-28,2016-02-06,2016-02-13,Ford,Freestyle,2006.0,,9.0,16.0,,0
261,Strark,android web,Paid,2016-01-28,,,,,,,,,,0
262,Strark,android web,Referral,2016-01-30,2016-02-17,,,,,,18.0,,,0
263,Strark,ios web,Organic,2016-01-03,2016-01-06,2016-01-26,Toyota,RAV4,2014.0,,3.0,23.0,,0
264,Berton,android web,Paid,2016-01-14,2016-01-21,2016-01-27,Nissan,Versa,2014.0,2016-02-05,7.0,13.0,22.0,1
265,Berton,other,Organic,2016-01-14,2016-01-17,,,,,,3.0,,,0
266,Wrouver,android web,Paid,2016-01-01,,,,,,,,,,0
267,Strark,windows,Paid,2016-01-18,2016-01-18,2016-01-25,Nissan,Altima,2015.0,2016-01-28,0.0,7.0,10.0,1
268,Strark,ios web,Paid,2016-01-12,2016-02-15,,,,,,34.0,,,0
269,Strark,,Paid,2016-01-21,2016-01-26,,,,,,5.0,,,0
270,Berton,android web,Paid,2016-01-12,2016-01-22,,,,,,10.0,,,0
271,Berton,windows,Paid,2016-01-28,2016-01-28,,,,,,0.0,,,0
272,Berton,other,Organic,2016-01-26,2016-01-26,,,,,,0.0,,,0
273,Berton,android web,Paid,2016-01-20,2016-01-22,,,,,,2.0,,,0
274,Strark,,Organic,2016-01-15,2016-01-23,2016-01-27,Saturn,VUE,2003.0,,8.0,12.0,,0
275,Strark,android web,Referral,2016-01-06,2016-01-20,2016-02-20,Honda,Accord,2012.0,,14.0,45.0,,0
276,Strark,other,Organic,2016-01-17,2016-01-18,,,,,,1.0,,,0
277,Strark,windows,Paid,2016-01-09,2016-01-30,,,,,,21.0,,,0
278,Strark,ios web,Paid,2016-01-18,2016-02-20,,,,,,33.0,,,0
279,Berton,ios web,Referral,2016-01-08,2016-01-20,,,,,,12.0,,,0
280,Berton,windows,Organic,2016-01-19,2016-01-25,2016-02-06,Toyota,Avalon,2014.0,,6.0,18.0,,0
281,Strark,mac,Paid,2016-01-19,2016-01-19,2016-01-23,Toyota,Tacoma,2016.0,2016-02-03,0.0,4.0,15.0,1
282,Strark,mac,Paid,2016-01-21,,,,,,,,,,0
283,Strark,android web,Organic,2016-01-03,,,,,,,,,,0
284,Strark,windows,Referral,2016-01-18,2016-02-07,2016-02-25,Mazda,MAZDA6,2014.0,,20.0,38.0,,0
285,Berton,ios web,Referral,2016-01-01,2016-01-18,,,,,,17.0,,,0
286,Berton,mac,Paid,2016-01-27,,,,,,,,,,0
287,Strark,android web,Referral,2016-01-13,2016-01-14,,,,,,1.0,,,0
288,Strark,android web,Referral,2016-01-04,2016-01-05,2016-01-05,Lexus,IS,2007.0,2016-01-05,1.0,1.0,1.0,1
289,Strark,,Organic,2016-01-25,,,,,,,,,,0
290,Strark,mac,Referral,2016-01-05,2016-01-08,,,,,,3.0,,,0
291,Strark,ios web,Organic,2016-01-21,2016-01-29,2016-02-02,Dodge,Dart,2013.0,2016-02-03,8.0,12.0,13.0,1
292,Strark,mac,Referral,2016-01-07,2016-01-10,,,,,,3.0,,,0
293,Strark,other,Paid,2016-01-14,2016-01-30,2016-01-31,Kia,Soul,2014.0,2016-02-01,16.0,17.0,18.0,1
294,Strark,ios web,Organic,2016-01-25,2016-02-05,2016-02-11,Honda,Accord,2015.0,,11.0,17.0,,0
